v_tilde(cm^-1),abs
3070.06347,0.25019
3069.80859,0.25063
3069.55371,0.25084
3069.29882,0.25067
3069.04394,0.25037
3068.78906,0.25015
3068.53418,0.25002
3068.27929,0.24992
3068.02441,0.24991
3067.76953,0.24995
3067.51464,0.24990
3067.25976,0.24976
3067.00488,0.24971
3066.75000,0.24978
3066.49511,0.24982
3066.24023,0.24973
3065.98535,0.24952
3065.73047,0.24931
3065.47558,0.24929
3065.22070,0.24946
3064.96582,0.24952
3064.71093,0.24937
3064.45605,0.24933
3064.20117,0.24956
3063.94629,0.24978
3063.69140,0.24978
3063.43652,0.24967
3063.18164,0.24960
3062.92675,0.24959
3062.67187,0.24965
3062.41699,0.24971
3062.16211,0.24965
3061.90722,0.24959
3061.65234,0.24970
3061.39746,0.24981
3061.14257,0.24967
3060.88769,0.24954
3060.63281,0.24962
3060.37793,0.24965
3060.12304,0.24956
3059.86816,0.24973
3059.61328,0.25005
3059.35839,0.25012
3059.10351,0.25051
3058.84863,0.25241
3058.59375,0.25529
3058.33886,0.25683
3058.08398,0.25588
3057.82910,0.25384
3057.57422,0.25241
3057.31933,0.25170
3057.06445,0.25115
3056.80957,0.25090
3056.55468,0.25133
3056.29980,0.25212
3056.04492,0.25256
3055.79004,0.25226
3055.53515,0.25152
3055.28027,0.25084
3055.02539,0.25045
3054.77050,0.25028
3054.51562,0.25012
3054.26074,0.24996
3054.00586,0.24992
3053.75097,0.25000
3053.49609,0.25000
3053.24121,0.24987
3052.98632,0.24977
3052.73144,0.24980
3052.47656,0.24984
3052.22168,0.24982
3051.96679,0.24982
3051.71191,0.24990
3051.45703,0.24997
3051.20214,0.25004
3050.94726,0.25012
3050.69238,0.25012
3050.43750,0.25001
3050.18261,0.24989
3049.92773,0.24976
3049.67285,0.24958
3049.41797,0.24950
3049.16308,0.24961
3048.90820,0.24978
3048.65332,0.24988
3048.39843,0.25000
3048.14355,0.25007
3047.88867,0.24992
3047.63379,0.24974
3047.37890,0.24985
3047.12402,0.25001
3046.86914,0.24991
3046.61425,0.24989
3046.35937,0.25012
3046.10449,0.25016
3045.84961,0.24997
3045.59472,0.25015
3045.33984,0.25048
3045.08496,0.25047
3044.83007,0.25174
3044.57519,0.25646
3044.32031,0.26276
3044.06543,0.26541
3043.81054,0.26267
3043.55566,0.25838
3043.30078,0.25596
3043.04589,0.25476
3042.79101,0.25344
3042.53613,0.25286
3042.28125,0.25401
3042.02636,0.25573
